id,Meal
1,Meatloaf
2,Hamburgers
3,Spaghetti
4,Sloppy Joes
5,Hawiian Chicken
6,Tomato Stoup
7,Chicken Pot Pie
8,Tacos
9,Pizza
10,Enchilada
11,Pepper Steak
12,Roasted Chicken w/ Apple
13,BLT
14,Spiced Pork Burgers
15,Chilli 
16,Carbonara
17,Tater tot hot dish
18,Stir Fry
19,Curry
20,Seasame Chicken
21,Peperonata Pasta
